contestSlug,contestTitle,date,problemCount,titleSlug,questionFrontendId,title,difficulty,acRate
weekly-contest-323,Weekly Contest 323,2022-12-11,4,maximum-number-of-points-from-grid-queries,2503,Maximum Number of Points From Grid Queries,Hard,59.2
weekly-contest-324,Weekly Contest 324,2022-12-18,4,count-pairs-of-similar-strings,2506,Count Pairs Of Similar Strings,Easy,73.7
weekly-contest-324,Weekly Contest 324,2022-12-18,4,smallest-value-after-replacing-with-sum-of-prime-factors,2507,Smallest Value After Replacing With Sum of Prime Factors,Medium,50.2
weekly-contest-324,Weekly Contest 324,2022-12-18,4,add-edges-to-make-degrees-of-all-nodes-even,2508,Add Edges to Make Degrees of All Nodes Even,Hard,36.7
weekly-contest-324,Weekly Contest 324,2022-12-18,4,cycle-length-queries-in-a-tree,2509,Cycle Length Queries in a Tree,Hard,60.7
weekly-contest-325,Weekly Contest 325,2022-12-25,4,shortest-distance-to-target-string-in-a-circular-array,2515,Shortest Distance to Target String in a Circular Array,Easy,65.2
weekly-contest-325,Weekly Contest 325,2022-12-25,4,take-k-of-each-character-from-left-and-right,2516,Take K of Each Character From Left and Right,Medium,51.5
weekly-contest-325,Weekly Contest 325,2022-12-25,4,maximum-tastiness-of-candy-basket,2517,Maximum Tastiness of Candy Basket,Medium,68.5
weekly-contest-325,Weekly Contest 325,2022-12-25,4,number-of-great-partitions,2518,Number of Great Partitions,Hard,33.7
weekly-contest-326,Weekly Contest 326,2023-01-01,4,count-the-digits-that-divide-a-number,2520,Count the Digits That Divide a Number,Easy,86.0
weekly-contest-326,Weekly Contest 326,2023-01-01,4,distinct-prime-factors-of-product-of-array,2521,Distinct Prime Factors of Product of Array,Medium,54.9
weekly-contest-326,Weekly Contest 326,2023-01-01,4,partition-string-into-substrings-with-values-at-most-k,2522,Partition String Into Substrings With Values at Most K,Medium,47.9
weekly-contest-326,Weekly Contest 326,2023-01-01,4,closest-prime-numbers-in-range,2523,Closest Prime Numbers in Range,Medium,51.9
weekly-contest-327,Weekly Contest 327,2023-01-08,4,maximum-count-of-positive-integer-and-negative-integer,2529,Maximum Count of Positive Integer and Negative Integer,Easy,74.2
weekly-contest-327,Weekly Contest 327,2023-01-08,4,maximal-score-after-applying-k-operations,2530,Maximal Score After Applying K Operations,Medium,64.2
weekly-contest-327,Weekly Contest 327,2023-01-08,4,make-number-of-distinct-characters-equal,2531,Make Number of Distinct Characters Equal,Medium,27.8
weekly-contest-327,Weekly Contest 327,2023-01-08,4,time-to-cross-a-bridge,2532,Time to Cross a Bridge,Hard,44.2
weekly-contest-328,Weekly Contest 328,2023-01-15,4,difference-between-element-sum-and-digit-sum-of-an-array,2535,Difference Between Element Sum and Digit Sum of an Array,Easy,85.4
weekly-contest-328,Weekly Contest 328,2023-01-15,4,increment-submatrices-by-one,2536,Increment Submatrices by One,Medium,73.8
weekly-contest-328,Weekly Contest 328,2023-01-15,4,count-the-number-of-good-subarrays,2537,Count the Number of Good Subarrays,Medium,65.7
weekly-contest-328,Weekly Contest 328,2023-01-15,4,difference-between-maximum-and-minimum-price-sum,2538,Difference Between Maximum and Minimum Price Sum,Hard,33.9
weekly-contest-329,Weekly Contest 329,2023-01-22,4,alternating-digit-sum,2544,Alternating Digit Sum,Easy,69.2
weekly-contest-329,Weekly Contest 329,2023-01-22,4,sort-the-students-by-their-kth-score,2545,Sort the Students by Their Kth Score,Medium,86.0
weekly-contest-329,Weekly Contest 329,2023-01-22,4,apply-bitwise-operations-to-make-strings-equal,2546,Apply Bitwise Operations to Make Strings Equal,Medium,42.8
weekly-contest-329,Weekly Contest 329,2023-01-22,4,minimum-cost-to-split-an-array,2547,Minimum Cost to Split an Array,Hard,44.9
weekly-contest-330,Weekly Contest 330,2023-01-29,4,count-distinct-numbers-on-board,2549,Count Distinct Numbers on Board,Easy,61.8
weekly-contest-330,Weekly Contest 330,2023-01-29,4,count-collisions-of-monkeys-on-a-polygon,2550,Count Collisions of Monkeys on a Polygon,Medium,30.3
weekly-contest-330,Weekly Contest 330,2023-01-29,4,put-marbles-in-bags,2551,Put Marbles in Bags,Hard,72.1
weekly-contest-330,Weekly Contest 330,2023-01-29,4,count-increasing-quadruplets,2552,Count Increasing Quadruplets,Hard,34.4
weekly-contest-331,Weekly Contest 331,2023-02-05,4,take-gifts-from-the-richest-pile,2558,Take Gifts From the Richest Pile,Easy,75.4
weekly-contest-331,Weekly Contest 331,2023-02-05,4,count-vowel-strings-in-ranges,2559,Count Vowel Strings in Ranges,Medium,67.9
weekly-contest-331,Weekly Contest 331,2023-02-05,4,house-robber-iv,2560,House Robber IV,Medium,64.6
weekly-contest-331,Weekly Contest 331,2023-02-05,4,rearranging-fruits,2561,Rearranging Fruits,Hard,57.3
weekly-contest-332,Weekly Contest 332,2023-02-12,4,find-the-array-concatenation-value,2562,Find the Array Concatenation Value,Easy,72.1
weekly-contest-332,Weekly Contest 332,2023-02-12,4,count-the-number-of-fair-pairs,2563,Count the Number of Fair Pairs,Medium,52.6
weekly-contest-332,Weekly Contest 332,2023-02-12,4,substring-xor-queries,2564,Substring XOR Queries,Medium,35.8
weekly-contest-332,Weekly Contest 332,2023-02-12,4,subsequence-with-the-minimum-score,2565,Subsequence With the Minimum Score,Hard,33.6
weekly-contest-333,Weekly Contest 333,2023-02-19,4,merge-two-2d-arrays-by-summing-values,2570,Merge Two 2D Arrays by Summing Values,Easy,81.7
